id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
first-digital-usd,FDUSD,First Digital Usd,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,3011444475,33,3011444475,6118613840,1.013,0.984551,0.00464077,0.46522,-77156573.80236483,-2.49811,3009055050.66,3009055050.66,,1.089,-8.11529,2024-05-20 19:42:15.377000+00:00,0.942129,6.16537,2023-08-17 21:55:41.478000+00:00,2024-08-28 20:19:08.947000+00:00,0.0,N/A,0.0,3011444475.0,3009055050.66,3009055050.66
monero,XMR,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,159.91,2952182191,34,2952182191,75228415,162.99,153.84,-3.0105298139360173,-1.84781,-46342616.5767436,-1.54551,18446744.0737096,18446744.0737096,,542.33,-70.64774,2018-01-09 00:00:00+00:00,0.216177,73536.45031,2015-01-14 00:00:00+00:00,2024-08-28 20:19:07.656000+00:00,0.0,N/A,0.0,2952182191.0,18446744.07,18446744.07
ethena-usde,USDE,Ethena Usde,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.0,2910358273,35,2910358273,74188688,1.002,0.996508,0.00081817,0.08193,-13648259.84222269,-0.46677,2912450454.20317,2912450454.20317,,1.032,-3.19514,2023-12-20 15:38:34.596000+00:00,0.965354,3.49627,2024-04-13 20:11:19.603000+00:00,2024-08-28 20:19:01.897000+00:00,0.0,N/A,0.0,2910358273.0,2912450454.2,2912450454.2
stellar,XLM,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.09,2746292709,37,4655131085,98827137,0.096499,0.090751,-0.003173123382792534,-3.29221,-96860016.19746113,-3.40678,29498534078.6204,50001786946.5427,50001786946.5427,0.875563,-89.3968,2018-01-03 00:00:00+00:00,0.00047612,19398.66584,2015-03-05 00:00:00+00:00,2024-08-28 20:19:07.513000+00:00,0.0,N/A,0.0,2746292709.0,29498534078.62,50001786946.54
ethereum-classic,ETC,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.53,2745484772,36,3895055035,154163016,19.13,17.97,-0.5803004652993629,-3.03663,-90441562.85104418,-3.18914,148514882.621333,210700000.0,210700000.0,167.09,-88.95903,2021-05-06 18:34:22.133000+00:00,0.615038,2899.46545,2016-07-25 00:00:00+00:00,2024-08-28 20:19:04.420000+00:00,40.17721174128989,usd,4017.721174128989,2745484772.0,148514882.62,210700000.0
blockstack,STX,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.61,2384978185,38,2922202118,133136079,1.79,1.56,-0.17362786893005788,-9.71322,-266468589.99288702,-10.04993,1483774963.14574,1818000000.0,1818000000.0,3.86,-57.96606,2024-04-01 12:34:58.342000+00:00,0.04559639,3462.40211,2020-03-13 02:29:26.415000+00:00,2024-08-28 20:19:00.714000+00:00,12.449285020137292,usd,1244.9285020137293,2384978185.0,1483774963.15,1818000000.0
render-token,RENDER,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.85,2296901821,39,3114860675,240695756,6.12,5.58,-0.1301321929224306,-2.17478,-52507049.07748127,-2.2349,392459381.455492,532219654.735492,,13.53,-57.04303,2024-03-17 16:30:24.636000+00:00,0.03665669,15760.93395,2020-06-16 13:22:25.900000+00:00,2024-08-28 20:19:07.293000+00:00,0.0,N/A,0.0,2296901821.0,392459381.46,532219654.74
bittensor,TAO,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,310.69,2253649908,40,6487842155,119377680,326.57,292.8,-15.877304044240134,-4.86186,-125365124.23739481,-5.26962,7294667.0,21000000.0,21000000.0,757.6,-59.17285,2024-03-07 18:45:36.466000+00:00,30.83,903.27228,2023-05-14 08:57:53.732000+00:00,2024-08-28 20:19:01.473000+00:00,0.0,N/A,0.0,2253649908.0,7294667.0,21000000.0
immutable-x,IMX,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.45,2253059972,41,2864985277,86694173,1.46,1.32,0.04275181,3.04323,47375060.0,2.14786,1572824817.3898141,2000000000.0,2000000000.0,9.52,-84.89528,2021-11-26 01:03:01.536000+00:00,0.378055,280.35738,2022-12-31 07:36:37.649000+00:00,2024-08-28 20:19:04.009000+00:00,0.0,N/A,0.0,2253059972.0,1572824817.39,2000000000.0
okb,OKB,Okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,36.8,2207180482,42,8680019961,5009962,37.51,36.02,-0.6868380360613315,-1.83222,-42104019.059431076,-1.87188,60000000.0,235957685.3,300000000.0,73.8,-50.41628,2024-03-14 00:30:12.502000+00:00,0.580608,6202.77984,2019-01-14 00:00:00+00:00,2024-08-28 20:19:06.208000+00:00,0.0,N/A,0.0,2207180482.0,60000000.0,235957685.3
