id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
litecoin,LTC,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,61.42,4608408631,24,5167446217,427379882,63.72,59.25,-2.295709318591598,-3.60303,-168916809.65430355,-3.5358,74912501.9834713,84000000.0,84000000.0,410.26,-85.00507,2021-05-10 03:13:07.904000+00:00,1.15,5254.79756,2015-01-14 00:00:00+00:00,2024-08-28 19:48:59.759000+00:00,0.0,N/A,0.0,4608408631.0,74912501.98,84000000.0
uniswap,UNI,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.74,4330641613,25,5745334468,208181635,6.04,5.62,-0.3008438825879187,-4.98335,-222234085.60112,-4.88118,753766667.0,1000000000.0,1000000000.0,44.92,-87.19367,2021-05-03 05:25:04.822000+00:00,1.03,458.38853,2020-09-17 01:20:38.214000+00:00,2024-08-28 19:48:59.281000+00:00,0.0,N/A,0.0,4330641613.0,753766667.0,1000000000.0
wrapped-eeth,WEETH,Wrapped Eeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2629.76,4096689921,26,4096689921,90715229,2707.37,2531.72,-77.60068194353835,-2.86628,-138190213.61027098,-3.26314,1557741.85780804,1557741.85780804,,4196.87,-37.3369,2024-03-13 08:29:59.938000+00:00,2231.18,17.87016,2024-01-08 03:35:28.624000+00:00,2024-08-28 19:48:59.314000+00:00,0.0,N/A,0.0,4096689921.0,1557741.86,1557741.86
matic-network,MATIC,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.44,4085312269,27,4400880216,520944561,0.493343,0.42689,-0.054148242184042905,-10.97578,-494362534.36861277,-10.79471,9282943566.203985,10000000000.0,10000000000.0,2.92,-84.91097,2021-12-27 02:08:34.307000+00:00,0.00314376,13897.11294,2019-05-10 00:00:00+00:00,2024-08-28 19:48:56.574000+00:00,165.99418711271716,usd,16599.418711271715,4085312269.0,9282943566.2,10000000000.0
kaspa,KAS,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.16,3973253721,28,3973272494,81547357,0.16834,0.158135,-0.007112508099693605,-4.22508,-163204940.92845964,-3.94552,24558305886.6451,24558421919.3332,28704026601.0,0.207411,-22.21135,2024-08-01 00:40:47.164000+00:00,0.00017105,94224.83225,2022-05-26 14:42:59.316000+00:00,2024-08-28 19:48:54.507000+00:00,0.0,N/A,0.0,3973253721.0,24558305886.65,24558421919.33
internet-computer,ICP,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.75,3654808276,29,4067097477,112296897,8.23,7.55,-0.47580621682768776,-5.78087,-188371851.0026002,-4.90146,469271087.111766,522208310.352505,,700.65,-98.88807,2021-05-10 16:05:53.653000+00:00,2.87,171.92535,2023-09-22 00:29:57.369000+00:00,2024-08-28 19:48:59.993000+00:00,0.0,N/A,0.0,3654808276.0,469271087.11,522208310.35
aptos,APT,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,6.85,3329294968,30,7637905665,322879628,7.29,6.55,-0.4473009869193838,-6.13287,-212228696.65893602,-5.99258,485222385.815245,1113173463.3448,,19.92,-65.49055,2023-01-26 14:25:17.390000+00:00,3.08,123.2103,2022-12-29 21:35:14.796000+00:00,2024-08-28 19:49:01.037000+00:00,0.0,N/A,0.0,3329294968.0,485222385.82,1113173463.34
pepe,PEPE,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.0,3265572877,31,3265572877,1844017185,8.39e-06,7.42e-06,-6.3042162804e-07,-7.51303,-264454420.66182613,-7.49157,420690000000000.0,420690000000000.0,420690000000000.0,1.717e-05,-54.67964,2024-05-27 08:30:07.709000+00:00,5.5142e-08,14008.50825,2023-04-18 02:14:41.591000+00:00,2024-08-28 19:48:56.307000+00:00,0.0,N/A,0.0,3265572877.0,420690000000000.0,420690000000000.0
fetch-ai,FET,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.26,3173222305,32,3311094765,541200797,1.36,1.19,-0.10956266627197286,-8.02676,-267349090.71349955,-7.77049,2521012371.0,2630547141.0,2630547141.0,3.45,-63.56257,2024-03-28 17:21:18.050000+00:00,0.00816959,15305.94242,2020-03-13 02:24:18.347000+00:00,2024-08-28 19:48:53.832000+00:00,13.479878802042618,usd,1347.9878802042617,3173222305.0,2521012371.0,2630547141.0
first-digital-usd,FDUSD,First Digital Usd,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,3005670257,33,3005670257,6061340769,1.013,0.984551,-0.001127830402318342,-0.11289,-88404260.46671724,-2.85721,3009055050.66,3009055050.66,,1.089,-8.24004,2024-05-20 19:42:15.377000+00:00,0.942129,6.02123,2023-08-17 21:55:41.478000+00:00,2024-08-28 19:48:55.209000+00:00,0.0,N/A,0.0,3005670257.0,3009055050.66,3009055050.66
monero,XMR,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,158.81,2929079939,34,2929079939,74912138,163.17,153.84,-4.056555634677267,-2.49067,-76075762.29943657,-2.53151,18446744.0737096,18446744.0737096,,542.33,-70.76744,2018-01-09 00:00:00+00:00,0.216177,73236.14081,2015-01-14 00:00:00+00:00,2024-08-28 19:48:56.153000+00:00,0.0,N/A,0.0,2929079939.0,18446744.07,18446744.07
ethena-usde,USDE,Ethena Usde,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.0,2914452808,35,2910179606,72881781,1.002,0.996508,0.00013132,0.01315,-9899340.28146696,-0.33851,2916726991.26917,2912450454.20317,,1.032,-3.20954,2023-12-20 15:38:34.596000+00:00,0.965354,3.48088,2024-04-13 20:11:19.603000+00:00,2024-08-28 19:49:02.893000+00:00,0.0,N/A,0.0,2914452808.0,2916726991.27,2912450454.2
ethereum-classic,ETC,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.46,2747805789,36,3898361699,153274907,19.19,17.97,-0.7303360477968219,-3.80512,-103960870.66742468,-3.64549,148514356.617179,210700000.0,210700000.0,167.09,-88.93324,2021-05-06 18:34:22.133000+00:00,0.615038,2906.47094,2016-07-25 00:00:00+00:00,2024-08-28 19:48:53.382000+00:00,40.029251825729666,usd,4002.9251825729666,2747805789.0,148514356.62,210700000.0
